STATION_CODE,STATION_NAME,LATITUDE,LONGITUDE,NUMBER_OF_ROUTES,BIKE_CAPACITY,Cages,Hoops,Locker,Other,Parkiteer,PARKING_CAPACITY,ANNUAL_PATRONAGE,PRE_PEAK,AM_PEAK,INTERPEAK,PM_PEAK,POST_PEAK,WEEKDAY_ENTRIES,SAT_ENTRIES,SUN_ENTRIES,AVG_WEEKLY_ENTRIES,ACCESS_BUS,ACCESS_CAR,ACCESS_BIKE,ACCESS_OTHER,ACCESS_TRAIN,ACCESS_TRAM,ACCESS_WALK,PURPOSE_EDU,PURPOSE_NIL,PURPOSE_APTMNT,PURPOSE_SOCIAL,PURPOSE_TOURIST,PURPOSE_VISIT,PURPOSE_WORK,venues
CBY,canterbury,-37.82,145.08,2.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,0.38,72.41,663.94,267.13,331.56,44.96,1380.0,570.0,400.0,7870.0,0.0,0.35,0.02,0.0,0.02,0.0,0.61,0.2,0.0,0.04,0.04,0.0,0.03,0.69,1
CHM,chatham,-37.82,145.09,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.24,47.42,479.28,162.05,134.68,26.57,850.0,340.0,230.0,4820.0,0.0,0.31,0.02,0.0,0.0,0.0,0.67,0.28,0.01,0.02,0.08,0.0,0.01,0.6,1
SHL,surrey hills,-37.82,145.1,2.0,49.0,0.0,1.0,12.0,0.0,1.0,357.0,0.82,247.14,1833.58,410.38,394.55,74.35,2960.0,1110.0,750.0,16660.0,0.02,0.48,0.0,0.0,0.02,0.0,0.48,0.15,0.0,0.03,0.06,0.0,0.02,0.73,0
MAB,mont albert,-37.82,145.11,2.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.32,60.47,684.79,236.41,133.31,35.02,1150.0,480.0,320.0,6550.0,0.0,0.3,0.01,0.01,0.0,0.0,0.68,0.17,0.0,0.07,0.06,0.02,0.0,0.68,0
LAB,laburnum,-37.82,145.14,2.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.35,80.18,627.66,240.9,316.68,34.59,1300.0,510.0,340.0,7350.0,0.0,0.26,0.0,0.02,0.05,0.0,0.68,0.27,0.18,0.04,0.08,0.01,0.04,0.4,12
BBN,blackburn,-37.82,145.15,2.0,22.0,0.0,1.0,10.0,0.0,0.0,107.0,1.41,360.29,2307.13,896.31,863.86,162.4,4590.0,2310.0,1600.0,26860.0,0.29,0.36,0.0,0.0,0.03,0.0,0.31,0.23,0.1,0.15,0.05,0.01,0.05,0.42,41
NWG,nunawading,-37.82,145.17,2.0,15.0,0.0,1.0,10.0,0.0,0.0,204.0,1.0,288.71,1889.69,726.43,666.49,138.68,3710.0,1520.0,1090.0,21160.0,0.21,0.34,0.0,0.0,0.0,0.0,0.44,0.16,0.01,0.09,0.04,0.0,0.02,0.68,47
MCH,mitcham,-37.82,145.19,2.0,44.0,0.0,1.0,1.0,0.0,0.0,801.0,0.93,338.01,1969.92,599.23,574.08,88.76,3570.0,1230.0,840.0,19920.0,0.19,0.53,0.03,0.0,0.01,0.0,0.24,0.21,0.05,0.07,0.02,0.01,0.0,0.64,9
HTD,heatherdale,-37.82,145.21,2.0,38.0,0.0,3.0,0.0,0.0,1.0,518.0,0.56,298.82,1377.97,280.6,210.56,32.06,2200.0,560.0,390.0,11950.0,0.1,0.54,0.0,0.0,0.01,0.0,0.35,0.15,0.0,0.02,0.04,0.01,0.02,0.76,1
RWD,ringwood,-37.82,145.23,2.0,28.0,0.0,2.0,0.0,0.0,1.0,303.0,1.63,483.19,2127.74,1426.6,1421.9,270.57,5730.0,3090.0,2110.0,33850.0,0.26,0.42,0.0,0.03,0.03,0.0,0.26,0.31,0.08,0.1,0.05,0.0,0.04,0.42,2
AUB,auburn,-37.82,145.05,3.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.64,79.63,964.46,472.15,584.07,109.69,2210.0,1240.0,820.0,13110.0,0.0,0.09,0.0,0.0,0.0,0.0,0.91,0.11,0.0,0.04,0.04,0.0,0.04,0.76,1
GFE,glenferrie,-37.82,145.04,3.0,8.0,0.0,0.0,8.0,0.0,0.0,0.0,2.86,116.74,1699.53,2876.22,5134.55,1062.96,10890.0,3420.0,2420.0,60290.0,0.0,0.05,0.01,0.0,0.16,0.04,0.75,0.5,0.01,0.05,0.06,0.0,0.05,0.33,42
HAW,hawthorn,-37.82,145.02,3.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.68,68.39,1008.79,456.0,807.52,109.29,2450.0,1010.0,680.0,13940.0,0.0,0.13,0.01,0.0,0.02,0.17,0.66,0.18,0.09,0.04,0.07,0.0,0.04,0.58,1
BLY,burnley,-37.83,145.01,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.72,74.15,926.39,421.66,830.66,207.14,2460.0,1480.0,1000.0,14780.0,0.0,0.04,0.02,0.0,0.22,0.07,0.64,0.16,0.04,0.01,0.2,0.01,0.0,0.59,5
ERM,east richmond,-37.83,145.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,26.59,364.42,297.92,1079.13,211.94,1980.0,570.0,330.0,10800.0,0.0,0.0,0.0,0.0,0.06,0.0,0.93,0.1,0.0,0.0,0.13,0.01,0.04,0.72,2
RMD,richmond,-37.82,144.99,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.34,164.05,1660.21,1588.34,3700.5,2256.9,9370.0,9900.0,6720.0,63470.0,0.02,0.02,0.02,0.0,0.61,0.12,0.22,0.15,0.03,0.14,0.06,0.0,0.07,0.55,7
HEY,heyington,-37.83,145.02,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,12.85,215.95,161.16,444.84,25.2,860.0,220.0,130.0,4650.0,0.0,0.06,0.0,0.0,0.04,0.0,0.9,0.04,0.16,0.0,0.02,0.0,0.03,0.74,3
KYG,kooyong,-37.84,145.03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.32,29.11,391.17,269.59,404.24,55.89,1150.0,500.0,280.0,6530.0,0.0,0.15,0.02,0.0,0.05,0.05,0.73,0.42,0.07,0.05,0.05,0.01,0.03,0.36,11
TGA,tooronga,-37.85,145.04,1.0,8.0,0.0,0.0,8.0,0.0,0.0,189.0,0.65,92.78,990.65,402.65,744.96,108.96,2340.0,980.0,600.0,13280.0,0.0,0.19,0.0,0.0,0.01,0.0,0.79,0.1,0.16,0.05,0.1,0.0,0.2,0.38,1
GAR,gardiner,-37.85,145.05,1.0,29.0,0.0,1.0,0.0,0.0,1.0,229.0,0.43,75.59,765.74,278.43,255.95,54.3,1430.0,800.0,560.0,8510.0,0.0,0.33,0.0,0.0,0.0,0.06,0.61,0.19,0.16,0.05,0.13,0.0,0.01,0.45,2
SPG,springvale,-37.95,145.15,2.0,30.0,0.0,2.0,0.0,0.0,1.0,217.0,1.39,273.42,1595.87,1429.25,1138.28,253.17,4690.0,2890.0,2190.0,28530.0,0.43,0.27,0.0,0.0,0.07,0.0,0.22,0.3,0.01,0.02,0.07,0.0,0.13,0.46,50
WTL,westall,-37.94,145.14,2.0,45.0,0.0,3.0,16.0,0.0,1.0,274.0,0.59,181.14,803.52,445.81,461.18,88.35,1980.0,1310.0,870.0,12080.0,0.0,0.37,0.0,0.0,0.03,0.0,0.61,0.26,0.01,0.03,0.05,0.0,0.06,0.59,9
CLA,clayton,-37.92,145.12,2.0,8.0,0.0,0.0,8.0,0.0,0.0,298.0,1.5,284.67,1535.31,1378.45,1358.27,363.3,4920.0,3340.0,2330.0,30270.0,0.22,0.26,0.03,0.02,0.07,0.0,0.4,0.22,0.03,0.13,0.08,0.0,0.06,0.48,1
